Meta-level Policy,Pretrained Percentile,Number of Steps,Return
AStar,0.5,362,80.0
AStar,0.5,203,40.0
AStar,0.5,500,133.0
AStar,0.5,500,112.0
AStar,0.5,152,40.0
AStar,0.5,169,40.0
AStar,0.5,392,91.0
AStar,0.5,310,80.0
AStar,0.5,203,40.0
AStar,0.5,148,10.0
AStar,0.5,500,98.0
AStar,0.5,154,40.0
AStar,0.5,367,80.0
AStar,0.5,59,4.0
AStar,0.5,184,42.0
AStar,0.5,465,80.0
AStar,0.5,145,40.0
AStar,0.5,119,40.0
AStar,0.5,281,80.0
AStar,0.5,368,85.0
AStar,0.5,2,0.0
AStar,0.5,178,40.0
AStar,0.5,398,80.0
AStar,0.5,500,104.0
AStar,0.5,360,93.0
AStar,0.5,453,88.0
AStar,0.5,173,40.0
AStar,0.5,137,40.0
AStar,0.5,134,40.0
AStar,0.5,369,61.0
AStar,0.5,144,40.0
AStar,0.5,348,80.0
AStar,0.5,346,80.0
AStar,0.5,353,80.0
AStar,0.5,54,6.0
AStar,0.5,134,40.0
AStar,0.5,430,120.0
AStar,0.5,183,41.0
AStar,0.5,240,40.0
AStar,0.5,123,40.0
AStar,0.5,148,40.0
AStar,0.5,24,2.0
AStar,0.5,118,40.0
AStar,0.5,302,81.0
AStar,0.5,28,2.0
AStar,0.5,205,40.0
AStar,0.5,229,42.0
AStar,0.5,203,40.0
AStar,0.5,500,95.0
AStar,0.5,255,80.0
AStar,0.5,500,106.0
AStar,0.5,91,12.0
AStar,0.5,16,2.0
AStar,0.5,126,40.0
AStar,0.5,192,40.0
AStar,0.5,500,72.0
AStar,0.5,165,40.0
AStar,0.5,170,40.0
AStar,0.5,151,41.0
AStar,0.5,350,80.0
AStar,0.5,177,40.0
AStar,0.5,134,40.0
AStar,0.5,500,124.0
AStar,0.5,166,40.0
AStar,0.5,346,80.0
AStar,0.5,484,120.0
AStar,0.5,162,40.0
AStar,0.5,351,80.0
AStar,0.5,500,95.0
AStar,0.5,65,9.0
AStar,0.5,362,80.0
AStar,0.5,116,40.0
AStar,0.5,304,80.0
AStar,0.5,40,7.0
AStar,0.5,216,43.0
AStar,0.5,165,40.0
AStar,0.5,229,44.0
AStar,0.5,201,40.0
AStar,0.5,268,48.0
AStar,0.5,36,3.0
AStar,0.5,222,41.0
Random,0.5,1,0.0
Random,0.5,51,1.0
Random,0.5,69,3.0
Random,0.5,16,1.0
Random,0.5,55,7.0
Random,0.5,15,3.0
Random,0.5,71,8.0
Random,0.5,15,1.0
Random,0.5,219,41.0
Random,0.5,222,43.0
Random,0.5,3,0.0
Random,0.5,59,4.0
Random,0.5,243,50.0
Random,0.5,92,6.0
Random,0.5,347,80.0
Random,0.5,239,40.0
Random,0.5,500,64.0
Random,0.5,500,67.0
Random,0.5,500,83.0
Random,0.5,72,10.0
Random,0.5,500,83.0
Random,0.5,22,1.0
Random,0.5,36,2.0
Random,0.5,206,40.0
Random,0.5,125,16.0
Random,0.5,202,40.0
Random,0.5,380,50.0
Random,0.5,330,64.0
Random,0.5,357,60.0
Random,0.5,124,12.0
Random,0.5,163,41.0
Random,0.5,165,40.0
Random,0.5,447,81.0
Random,0.5,163,15.0
Random,0.5,477,64.0
Random,0.5,500,120.0
Random,0.5,46,5.0
Random,0.5,219,40.0
Random,0.5,106,9.0
Random,0.5,424,80.0
Random,0.5,474,48.0
Random,0.5,201,44.0
Random,0.5,425,81.0
Random,0.5,500,84.0
Random,0.5,417,69.0
Random,0.5,37,3.0
Random,0.5,500,98.0
Random,0.5,500,88.0
Random,0.5,500,93.0
Random,0.5,140,10.0
Random,0.5,164,40.0
Random,0.5,500,63.0
Random,0.5,334,23.0
Random,0.5,40,3.0
Random,0.5,388,57.0
Random,0.5,256,48.0
Random,0.5,17,2.0
Random,0.5,144,40.0
Random,0.5,221,43.0
Random,0.5,500,57.0
Random,0.5,25,2.0
Random,0.5,14,1.0
Random,0.5,197,40.0
Random,0.5,413,54.0
Random,0.5,500,57.0
Random,0.5,40,2.0
Random,0.5,416,62.0
Random,0.5,500,65.0
Random,0.5,500,93.0
Random,0.5,454,84.0
Random,0.5,292,53.0
Random,0.5,116,12.0
Random,0.5,359,49.0
Random,0.5,500,76.0
Random,0.5,268,55.0
Random,0.5,500,74.0
Random,0.5,229,40.0
Random,0.5,173,18.0
Random,0.5,265,44.0
Random,0.5,3,0.0
Random,0.5,500,64.0
Random,0.5,196,29.0
Random,0.5,179,40.0
Random,0.5,490,73.0
Random,0.5,500,81.0
Random,0.5,210,40.0
Random,0.5,458,87.0
Random,0.5,122,9.0
Random,0.5,83,9.0
Random,0.5,81,5.0
Random,0.5,267,26.0
Random,0.5,474,72.0
Random,0.5,295,52.0
Random,0.5,50,6.0
Random,0.5,19,0.0
Random,0.5,375,80.0
Random,0.5,86,15.0
Random,0.5,260,41.0
Random,0.5,103,12.0
Random,0.5,223,40.0
Random (No Terminate),0.5,13,1.0
Random (No Terminate),0.5,171,40.0
Random (No Terminate),0.5,308,80.0
Random (No Terminate),0.5,326,81.0
Random (No Terminate),0.5,345,82.0
Random (No Terminate),0.5,41,2.0
Random (No Terminate),0.5,390,85.0
Random (No Terminate),0.5,401,80.0
Random (No Terminate),0.5,500,89.0
Random (No Terminate),0.5,500,92.0
Random (No Terminate),0.5,215,40.0
Random (No Terminate),0.5,284,54.0
Random (No Terminate),0.5,500,88.0
Random (No Terminate),0.5,282,48.0
Random (No Terminate),0.5,500,83.0
Random (No Terminate),0.5,180,40.0
Random (No Terminate),0.5,500,87.0
Random (No Terminate),0.5,500,94.0
Random (No Terminate),0.5,149,40.0
Random (No Terminate),0.5,132,41.0
Random (No Terminate),0.5,500,70.0
Random (No Terminate),0.5,379,80.0
Random (No Terminate),0.5,165,40.0
Random (No Terminate),0.5,258,80.0
Random (No Terminate),0.5,500,68.0
Random (No Terminate),0.5,145,40.0
Random (No Terminate),0.5,148,40.0
Random (No Terminate),0.5,217,41.0
Random (No Terminate),0.5,318,80.0
Random (No Terminate),0.5,408,81.0
Random (No Terminate),0.5,485,120.0
Random (No Terminate),0.5,257,40.0
Random (No Terminate),0.5,112,10.0
Random (No Terminate),0.5,500,137.0
Random (No Terminate),0.5,500,76.0
Random (No Terminate),0.5,175,41.0
Random (No Terminate),0.5,500,102.0
Random (No Terminate),0.5,500,91.0
Random (No Terminate),0.5,500,94.0
Random (No Terminate),0.5,500,106.0
Random (No Terminate),0.5,500,67.0
Random (No Terminate),0.5,500,77.0
Random (No Terminate),0.5,500,110.0
Random (No Terminate),0.5,319,57.0
Random (No Terminate),0.5,500,92.0
Random (No Terminate),0.5,39,3.0
Random (No Terminate),0.5,500,104.0
Random (No Terminate),0.5,341,80.0
Random (No Terminate),0.5,208,40.0
Random (No Terminate),0.5,500,97.0
Random (No Terminate),0.5,500,93.0
Random (No Terminate),0.5,169,45.0
Random (No Terminate),0.5,147,19.0
Random (No Terminate),0.5,491,106.0
Random (No Terminate),0.5,347,80.0
Random (No Terminate),0.5,193,40.0
Random (No Terminate),0.5,22,0.0
Random (No Terminate),0.5,464,94.0
Random (No Terminate),0.5,253,40.0
Random (No Terminate),0.5,447,121.0
Random (No Terminate),0.5,500,82.0
Random (No Terminate),0.5,150,40.0
Random (No Terminate),0.5,500,102.0
Random (No Terminate),0.5,246,50.0
Random (No Terminate),0.5,201,41.0
Random (No Terminate),0.5,349,80.0
Random (No Terminate),0.5,227,47.0
Random (No Terminate),0.5,333,80.0
Random (No Terminate),0.5,150,20.0
Random (No Terminate),0.5,500,97.0
Random (No Terminate),0.5,500,88.0
Random (No Terminate),0.5,447,84.0
Random (No Terminate),0.5,500,100.0
Random (No Terminate),0.5,369,86.0
Random (No Terminate),0.5,486,122.0
Random (No Terminate),0.5,159,41.0
Random (No Terminate),0.5,500,129.0
