         17726585 function calls (16906589 primitive calls) in 125.474 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15224    0.104    0.000    0.285    0.000 /tf/mlrl/procgen/procgen_state.py:116(get_action_vector)
     3790    0.029    0.000    0.282    0.000 /usr/local/lib/python3.8/dist-packages/cffi/api.py:242(new)
     7148    0.033    0.000    0.280    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/gen_math_ops.py:11071(sub)
    45540    0.154    0.000    0.274    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/dtypes.py:188(__ne__)
      640    0.012    0.000    0.265    0.000 /usr/local/lib/python3.8/dist-packages/tf_agents/environments/gym_wrapper.py:226(_to_obs_space_dtype)
20501/20451    0.124    0.000    0.255    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   144424    0.250    0.000    0.250    0.000 /tf/mlrl/experiments/procgen_meta.py:87(q_hat)
   161749    0.249    0.000    0.249    0.000 {method 'append' of 'list' objects}
     3790    0.240    0.000    0.240    0.000 {built-in method _cffi_backend.newp}
     3790    0.021    0.000    0.235    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/math_ops.py:1759(_mul_dispatch)
     7693    0.032    0.000    0.224    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/gen_math_ops.py:3272(equal)
    26530    0.132    0.000    0.222    0.000 /usr/lib/python3.8/inspect.py:1520(currentframe)
    16531    0.085    0.000    0.220    0.000 <__array_function__ internals>:177(concatenate)
   131207    0.216    0.000    0.216    0.000 /tf/mlrl/meta/search_tree.py:330(get_children)
    34850    0.126    0.000    0.211    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/ops.py:6947(_restore_name_scope)
     1950    0.007    0.000    0.211    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/ops/array_ops.py:1419(stack)
   128928    0.208    0.000    0.208    0.000 /tf/mlrl/meta/search_tree.py:258(set_q_value)
    26570    0.083    0.000    0.205    0.000 /usr/local/lib/python3.8/dist-packages/tensorflow/python/framework/tensor_shape.py:860(ndims)
