index,Run ID,Meta-level Policy,Pretrained Percentile,Number of Steps,Return,gpus,pretrained_runs_folder,pretrained_run,max_tree_size,n_envs,n_episodes,max_steps,no_video,video_fps,video_steps,Normalized Return,Environment
62,,$\hat{Q}^*$,0.25,52.75,10.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.24096385542168675,BigFish
61,,$\hat{Q}^*$,0.25,24.25,2.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.04819277108433735,BigFish
60,,$\hat{Q}^*$,0.25,14.5,1.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.04216867469879518,BigFish
59,,$\hat{Q}^*$,0.25,5.5,0.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.0,BigFish
58,,$\hat{Q}^*$,0.25,63.5,6.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.15060240963855423,BigFish
57,,$\hat{Q}^*$,0.25,5.0,0.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.018072289156626505,BigFish
217,,$\hat{Q}^*$,0.75,6.5,0.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.006024096385542169,BigFish
55,,$\hat{Q}^*$,0.25,13.5,1.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.030120481927710843,BigFish
54,,$\hat{Q}^*$,0.25,28.5,4.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.10843373493975904,BigFish
65,,$\hat{Q}^*$,0.25,15.75,1.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.024096385542168676,BigFish
53,,$\hat{Q}^*$,0.25,100.5,17.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.40963855421686746,BigFish
51,,$\hat{Q}^*$,0.25,20.5,2.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.060240963855421686,BigFish
50,,$\hat{Q}^*$,0.25,31.25,2.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.06626506024096386,BigFish
49,,$\hat{Q}^*$,0.25,30.75,3.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.08433734939759036,BigFish
48,,$\hat{Q}^*$,0.25,86.25,10.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.25903614457831325,BigFish
47,,$\hat{Q}^*$,0.25,75.5,8.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.19879518072289157,BigFish
46,,$\hat{Q}^*$,0.25,45.75,6.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.16265060240963855,BigFish
45,,$\hat{Q}^*$,0.25,17.0,1.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.03614457831325301,BigFish
44,,$\hat{Q}^*$,0.25,9.5,0.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.018072289156626505,BigFish
43,,$\hat{Q}^*$,0.25,14.25,1.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.024096385542168676,BigFish
42,,$\hat{Q}^*$,0.25,52.25,5.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.12048192771084337,BigFish
52,,$\hat{Q}^*$,0.25,15.0,2.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.06626506024096386,BigFish
116,,$\hat{Q}^*$,0.25,25.75,1.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.03614457831325301,BigFish
56,,$\hat{Q}^*$,0.25,28.75,2.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.060240963855421686,BigFish
118,,$\hat{Q}^*$,0.5,2.25,0.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.0,BigFish
189,,$\hat{Q}^*$,0.5,12.75,1.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.030120481927710843,BigFish
188,,$\hat{Q}^*$,0.5,9.5,0.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.0,BigFish
187,,$\hat{Q}^*$,0.5,120.5,20.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.4819277108433735,BigFish
186,,$\hat{Q}^*$,0.5,7.25,0.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.012048192771084338,BigFish
185,,$\hat{Q}^*$,0.5,16.75,1.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.04216867469879518,BigFish
184,,$\hat{Q}^*$,0.5,0.75,0.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.0,BigFish
183,,$\hat{Q}^*$,0.5,18.5,1.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.03614457831325301,BigFish
182,,$\hat{Q}^*$,0.5,66.0,4.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.10843373493975904,BigFish
181,,$\hat{Q}^*$,0.5,30.0,3.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.0783132530120482,BigFish
180,,$\hat{Q}^*$,0.5,21.75,2.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.06626506024096386,BigFish
179,,$\hat{Q}^*$,0.5,11.0,0.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.018072289156626505,BigFish
178,,$\hat{Q}^*$,0.5,6.5,0.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.006024096385542169,BigFish
177,,$\hat{Q}^*$,0.5,125.0,12.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.30120481927710846,BigFish
176,,$\hat{Q}^*$,0.5,5.75,0.0,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.0,BigFish
175,,$\hat{Q}^*$,0.5,108.25,10.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.2469879518072289,BigFish
174,,$\hat{Q}^*$,0.5,80.5,5.5,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.13253012048192772,BigFish
173,,$\hat{Q}^*$,0.5,82.0,11.75,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.28313253012048195,BigFish
172,,$\hat{Q}^*$,0.5,61.25,5.25,,runs,run-16823527592836354,64,16.0,20.0,500.0,True,1.0,120.0,0.12650602409638553,BigFish
